index,value,name,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,type,rank,so2,date
896,64,深圳,0.823,121,24,22,111,49,30,良,125,7,2017/10/1
945,75,西安,1.465,116,30,50,41,91,50,良,208.3226,12,2017/10/1
47,78,上海,0.863,130,38,59,80,68,41,良,113.4667,13,2017/11/1
75,96,乌鲁木齐,1.583,172,37,52,36,105,71,良,220.6333,15,2017/11/1
150,75,北京,0.903,201,30,49,44,73,46,良,147.7667,5,2017/11/1
200,81,南京,0.91,127,31,60,72,104,50,良,177.5667,16,2017/11/1
262,70,南宁,1.19,128,32,46,70,75,47,良,158.3667,12,2017/11/1
324,54,厦门,0.637,81,30,37,83,49,26,良,64.2667,13,2017/11/1
372,100,合肥,1.04,174,31,73,72,107,67,良,209.5667,14,2017/11/1
479,93,呼和浩特,1.607,197,32,54,56,118,55,良,193.4333,34,2017/11/1
556,87,天津,1.21,201,40,58,46,86,53,良,153.7667,14,2017/11/1
605,67,广州,1,108,36,51,70,59,39,良,128.9333,11,2017/11/1
650,95,成都,0.99,170,45,57,52,102,69,良,192.9333,11,2017/11/1
697,77,杭州,1.02,112,35,58,61,84,48,良,146.6,12,2017/11/1
760,105,武汉,1.233,191,51,70,63,115,76,轻度污染,234.2333,13,2017/11/1
819,55,海口,0.77,139,24,12,93,46,28,良,55.0333,7,2017/11/1
883,59,深圳,0.85,102,32,33,91,58,37,良,105.0333,8,2017/11/1
946,129,西安,1.773,292,66,74,38,159,94,轻度污染,267.9333,22,2017/11/1
46,97,上海,1.061,225,48,69,39,75,54,良,113.9032,15,2017/12/1
90,124,乌鲁木齐,1.948,274,55,49,19,119,92,轻度污染,228.8387,13,2017/12/1
136,81,北京,1.09,254,23,49,25,68,44,良,105.3871,8,2017/12/1
201,115,南京,1.139,304,52,67,29,112,63,轻度污染,188.2903,18,2017/12/1
263,85,南宁,1.248,150,43,55,44,84,58,良,157.5161,19,2017/12/1
338,60,厦门,0.661,98,20,39,46,63,33,良,68.6452,12,2017/12/1
385,131,合肥,1.294,285,42,68,32,120,94,轻度污染,230.3871,14,2017/12/1
478,92,呼和浩特,1.994,165,37,54,25,116,58,良,177.5806,41,2017/12/1
542,108,天津,1.616,303,40,62,24,100,69,轻度污染,156.5161,18,2017/12/1
604,81,广州,1.042,126,35,65,47,76,51,良,120.871,16,2017/12/1
637,144,成都,1.39,242,68,71,30,130,93,轻度污染,250.1613,12,2017/12/1
698,104,杭州,1.281,236,62,67,26,118,73,轻度污染,183.0645,14,2017/12/1
761,130,武汉,1.306,270,60,71,25,126,95,轻度污染,238.8387,16,2017/12/1
835,55,海口,0.69,86,32,12,58,55,34,良,68.0645,9,2017/12/1
884,70,深圳,0.842,114,36,34,63,75,46,良,114.7097,11,2017/12/1
947,172,西安,2.006,402,72,80,22,181,109,中度污染,272.0968,32,2017/12/1
45,92,上海,0.977,239,35,58,63,64,58,良,178.0645,14,2018/1/1
77,174,乌鲁木齐,2.581,302,67,66,35,168,136,中度污染,290.7097,16,2018/1/1
137,66,北京,0.832,175,29,42,52,64,34,良,112.8065,8,2018/1/1
202,115,南京,1.061,271,0,61,57,112,83,轻度污染,208.3226,14,2018/1/1
264,80,南宁,1.29,172,33,51,64,81,54,良,159.129,14,2018/1/1
325,55,厦门,0.668,79,33,38,70,48,28,良,86.9355,11,2018/1/1
401,119,合肥,1.177,234,32,53,60,85,88,轻度污染,221.3226,9,2018/1/1
477,67,呼和浩特,1.532,152,0,47,56,79,38,良,137.6452,35,2018/1/1
540,83,天津,1.361,188,32,56,47,82,52,良,166.4839,19,2018/1/1
603,96,广州,1.132,196,38,75,67,80,62,良,195.0968,14,2018/1/1
638,115,成都,1.21,267,37,62,54,126,86,轻度污染,231.0968,11,2018/1/1
699,97,杭州,1.042,186,44,60,42,95,66,良,198.9677,14,2018/1/1
762,116,武汉,1.2,226,52,53,48,87,86,轻度污染,244.4839,11,2018/1/1
821,44,海口,0.6,78,20,15,71,40,23,优,52.8065,5,2018/1/1
885,62,深圳,0.839,135,30,37,87,61,39,良,108.7097,8,2018/1/1
948,183,西安,2.058,341,67,76,46,191,141,中度污染,296.6452,28,2018/1/1
44,73,上海,0.779,162,39,47,90,61,44,良,150.0714,14,2018/2/1
78,157,乌鲁木齐,2.368,265,64,67,69,143,120,中度污染,293.5,16,2018/2/1
138,81,北京,0.861,219,35,34,76,72,50,良,140.5,10,2018/2/1
203,78,南京,0.868,183,0,47,74,86,54,良,167.9286,13,2018/2/1
265,73,南宁,1.1,145,28,36,80,70,52,良,145.9643,12,2018/2/1
326,54,厦门,0.629,92,33,30,77,50,30,良,83.0357,8,2018/2/1
387,90,合肥,0.914,185,33,43,73,88,64,良,213.3214,8,2018/2/1
476,69,呼和浩特,1.354,249,0,40,76,82,38,良,136.4643,34,2018/2/1
539,88,天津,1.189,190,0,42,77,84,60,良,165,17,2018/2/1
602,71,广州,0.779,195,27,45,84,57,44,良,134.3929,10,2018/2/1
639,94,成都,1.021,221,0,47,84,97,69,良,213.1786,9,2018/2/1
700,81,杭州,0.957,176,29,43,69,86,58,良,175.2857,11,2018/2/1
763,89,武汉,1.104,169,0,54,68,87,63,良,214.2143,12,2018/2/1
822,54,海口,0.607,82,23,14,76,53,35,良,80.5,7,2018/2/1
886,56,深圳,0.671,88,24,27,91,54,36,良,83.6429,8,2018/2/1
949,112,西安,1.543,282,0,60,82,125,81,轻度污染,251.1071,25,2018/2/1
43,69,上海,0.642,120,42,45,102,50,40,良,162.1613,12,2018/3/1
79,64,乌鲁木齐,1.168,180,0,38,85,71,38,良,151.0645,11,2018/3/1
139,119,北京,1.084,294,0,58,88,108,85,轻度污染,254.7419,10,2018/3/1
204,74,南京,0.742,113,41,52,95,84,48,良,181.2258,13,2018/3/1
261,64,南宁,0.994,95,42,40,91,64,40,良,136.8065,11,2018/3/1
327,60,厦门,0.665,122,39,44,86,53,33,良,109.2581,11,2018/3/1
388,73,合肥,0.806,102,34,44,96,69,47,良,176.0323,7,2018/3/1
475,53,呼和浩特,1.368,147,0,49,94,66,30,良,146.9355,27,2018/3/1
538,111,天津,1.203,335,0,59,94,103,77,轻度污染,255.1613,15,2018/3/1
601,85,广州,0.835,150,38,61,106,64,43,良,215.6129,13,2018/3/1
640,94,成都,1.032,166,40,61,104,105,65,良,239.4194,12,2018/3/1
701,73,杭州,0.916,128,43,51,90,73,45,良,166.5484,9,2018/3/1
764,78,武汉,1.029,120,35,57,80,83,50,良,200.4839,9,2018/3/1
823,42,海口,0.571,85,20,13,70,38,19,优,40.8065,5,2018/3/1
887,59,深圳,0.616,85,25,30,101,47,28,良,116.7097,7,2018/3/1
950,116,西安,1.503,236,0,67,98,143,84,轻度污染,266.3871,16,2018/3/1
48,86,上海,0.653,181,0,47,132,75,40,良,201.8667,13,2018/4/1
80,76,乌鲁木齐,0.847,135,37,33,108,95,28,良,184.3,9,2018/4/1
151,105,北京,0.743,273,39,41,125,116,64,轻度污染,234.8333,7,2018/4/1
